pk,sk,assigned_cohort,fee,status_code,status,accept_reject_date,amount_to_be_paid,transaction_id,payment_status,i_agree_to_terms_and_conditions_of_global_shala,modified_at,apply_date,accept_reject_reason,category,not_started_date,cohort_p2,cohort_p1,team_name,team_code,application_id,i_have_read_and_agreed_to_the_terms_and_conditions,send_for_approval_mechanism_t_c,i_understand_that_i_will_have_to_commit_at_least56_hours_each_w,why_do_you_want_to_apply_for_this_internship,created_at,created_month,created_quarter,external_reference_url,work_item_sk,i_understand_that_this_is_the_first_step_towards_my_application,how_did_you_hear_about_this_opportunity,can_you_share_an_experience_where_you_proactively_pursued_learn,dropped_out_date,appear_in_wishlist
Learner#13c5db90-b9df-4192-a33c-23c23b416481,Learner#0000000010ETH0YVF8740HD411,B2BPBHE,,1070,Team Allocated,12/19/2025,$0.00,,unpaid,,12/19/2025,12/19/2025,Strong application,,,,B2BPBHE,,,,TRUE,,,For learning purpose,12/14/2023,December,Q4,,WorkItem#0000000010N3J73YF39J01XQJK,,,,,
Learner#,Learner#0000000010ETH0YVF8740HD411,,$0.00,,,,,,,,12/18/2025,,,Internship,,,,,,,,,,,11/8/2025,November,Q4,,WorkItem#000000001063A2KABHP8KV9F9V,,,,,"""ans_type'"":'""string'""}"
Learner#5b103f6b-b175-46e1-b148-0683da9aff14,Learner#0000000010EV66KDBP0047F7ZE,,,1030,Rejected,11/3/2023,$0.00,,unpaid,TRUE,11/3/2023,11/2/2023,aa,,,,BUAU9KZ,,,,,,,,8/5/2023,August,Q3,,,,,,,
Learner#,Learner#0000000010EV66KDBP0047F7ZE,,$0.00,,,,,,,,11/2/2023,,,Career,,,,,,,,,,,8/28/2023,August,Q3,,,,,,,"""ans_type'"":'""boolean'""}"
Learner#31226377-4c97-4d6c-8b67-126601474c0c,Learner#0000000010EV66KDBP0047F7ZE,BUAU9KZ,,1120,Rewards,11/2/2023,$0.00,,unpaid,TRUE,11/2/2023,11/2/2023,Accepted by automation,,,,BUAU9KZ,,,,,,,,9/28/2023,September,Q3,,,,,,,
Learner#,Learner#0000000010EV9X7ADH4NDG3ZA5,,$0.00,,,,,,,,3/12/2025,,,Masterclass,,,,,,,,,,,12/18/2023,December,Q4,,WorkItem#0000000010D5DYWCA523PTCJ13,,,,,"{'""serial_number'"":'""1'"""
Learner#,Learner#0000000010EVE4QTRMWHR8ZJH5,,$0.00,,,,,,,,11/13/2025,,,Event,,,,,,,,,,,3/23/2023,March,Q1,,WorkItem#0000000010DZZTGMGSNCGMMTAB,,,,,"""is_frozen'"":'""false'"""
Learner#03db4b84-a7e6-4ea9-951b-ac34ca7ae258,Learner#0000000010EVE4QTRMWHR8ZJH5,BQYZVQ3,,1070,Team Allocated,12/2/2025,$0.00,,unpaid,TRUE,12/2/2025,12/2/2025,This is an auto approved opportunity,,,,BQYZVQ3,,,,,,,,7/24/2023,July,Q3,,WorkItem#000000001026WK7RZWRRP4Y3TY,,,,,
Learner#153f063d-cf30-4259-a399-3a199bca54c7,Learner#0000000010EVE4QTRMWHR8ZJH5,,,1040,Waitlisted,12/2/2025,$0.00,,unpaid,TRUE,12/2/2025,12/2/2025,This is an auto approved opportunity,,,,BQYZVQ3,,,,,,,,2/27/2024,February,Q1,,WorkItem#000000001023ZX983BP1MQMMDQ,,,,,
Learner#34d80a6f-66bd-4e88-a484-5bdc7cf8779b,Learner#0000000010EVG6VXVQDY695DF4,,,1040,Waitlisted,8/28/2025,$0.00,,unpaid,,8/28/2025,8/28/2025,This is an auto approved opportunity,,,,B0QHODW,,,,TRUE,,,test,5/16/2023,May,Q2,,WorkItem#00000000108SNEE3X98Z9PHWEB,,,,,
Learner#5abc674e-6d49-478b-8800-fbe7c3eb894c,Learner#0000000010EVG6VXVQDY695DF4,,,1040,Waitlisted,8/28/2025,$0.00,,unpaid,,8/28/2025,8/28/2025,This is an auto approved opportunity,,,,B0QHODW,,,,TRUE,,,Learning,9/21/2023,September,Q3,https://sites.google.com/,WorkItem#00000000101NZ6K1M3AJ5BYKH5,,,,,
Learner#03db4b84-a7e6-4ea9-951b-ac34ca7ae258,Learner#0000000010EVG6VXVQDY695DF4,,,1040,Waitlisted,8/28/2025,$0.00,,unpaid,,8/28/2025,8/28/2025,This is an auto approved opportunity,,,,B0QHODW,,,,TRUE,,,123456789,4/26/2024,April,Q2,,WorkItem#0000000010D385P6G50D8RKE8C,,,,,
Learner#5b103f6b-b175-46e1-b148-0683da9aff14,Learner#0000000010EVG6VXVQDY695DF4,B0QHODW,,1070,Team Allocated,8/28/2025,$0.00,,unpaid,,8/28/2025,8/28/2025,This is an auto approved opportunity,,,,B0QHODW,,,,TRUE,,,test,9/29/2024,September,Q3,,WorkItem#0000000010K7GY9Y4DP3DXAHEZ,,,,,
Learner#,Learner#0000000010EVG6VXVQDY695DF4,,$0.00,,,,,,,,8/28/2025,,,Internship,,,,,,,,,,,2/17/2026,February,Q1,,WorkItem#0000000010JQ2NJDJ035RE5KMV,,,,,"""question'"":'""Additional Notes'"""
Learner#,Learner#0000000010EVNQXEPXT4DQ9E07,,$0.00,,,,,,,,4/28/2024,,,Event,,,,,,,,,,,7/1/2023,July,Q3,,WorkItem#00000000105AKG7NSNGMRQC9N5,,,,,"{'""code'"":'""QGCY648'"""
Learner#44e622dc-ad15-42e2-b511-1baeb9c340e1,Learner#0000000010EVT7ZY299NDW465D,B5VILXF,,1070,Team Allocated,6/26/2023,$0.00,,unpaid,,6/26/2023,6/26/2023,Accepted by automation,,,,B5VILXF,,,,TRUE,,,Applying from cypress automation testing.,8/5/2023,August,Q3,,,,,,,
Learner#,Learner#0000000010EVT7ZY299NDW465D,,$0.00,,,,,,,,6/26/2023,,,Internship,,,,,,,,,,,12/17/2025,December,Q4,,,,,,,
Learner#,Learner#0000000010EVVGSQZHVVGZG8XT,,$0.00,,,,,,,,1/18/2024,,,Internship,,,,,,,,,,,9/8/2025,September,Q3,,WorkItem#0000000010MBNPF2MD7ZPTMFYG,,,,,FALSE
Learner#,Learner#0000000010EVVVZETXHBPF9WVR,,$0.00,,,,,,,,4/16/2025,,,Course,,,,,,,,,,,7/27/2023,July,Q3,,WorkItem#0000000010119Y32R0GK8J9QPK,,,,,"""is_frozen'"":'""false'"""
Learner#,Learner#0000000010EW1AZPKMZP1GAJMJ,,$10.00,,,,,,,,12/17/2024,,,Internship,,,,,,,,,,,9/19/2023,September,Q3,,WorkItem#0000000010J0X1PY5DTQ3N7XDP,,,,,"""is_required_for_badge_award'"":'""false'"""
Learner#6f39a383-aa51-4642-8995-61e49649f6d8,Learner#0000000010EW1AZPKMZP1GAJMJ,,,1020,Accepted,5/22/2024,$10.00,,unpaid,,5/22/2024,5/22/2024,asdasd,,,,BRHD5C9,,,,TRUE,,,sadasd,12/19/2023,December,Q4,,WorkItem#0000000010T0JXAHPMBKF9C0GE,,,,,
Learner#28605fc5-e7c9-4839-8cd9-5b0a2daf3a3e,Learner#0000000010EW1AZPKMZP1GAJMJ,,,1020,Accepted,5/22/2024,$10.00,,unpaid,,5/22/2024,5/22/2024,sdsd,,,,BRHD5C9,,,,TRUE,,,adsasd,10/16/2024,October,Q4,,WorkItem#00000000104Z363P5R1GJGDNZH,,,,,
Learner#af81e256-c44e-4320-b365-626d0351b9f9,Learner#0000000010EW1AZPKMZP1GAJMJ,,,1020,Accepted,5/22/2024,$10.00,,unpaid,,5/22/2024,5/22/2024,asd,,,,BRHD5C9,,,,TRUE,,,dad,9/2/2025,September,Q3,,WorkItem#000000001002618MTPYT35FFKE,,,,,
Learner#,Learner#0000000010EW7PDQK106CX0WQK,,$0.00,,,,,,,,9/25/2024,,,Engagement,,,,,,,,,,,7/25/2025,July,Q3,,WorkItem#0000000010QMJFTR0C2Q0D7SZG,,,,,"{'""serial_number'"":'""0'"""
Learner#8d4c12bb-211d-459f-8b2d-653095f9b529,Learner#0000000010EWBZYE5RYETV2D96,,,1020,Accepted,4/24/2024,$1.00,,unpaid,TRUE,4/24/2024,4/24/2024,Accepted by automation,,,,B19NFO5,,,,,,,,6/29/2023,June,Q2,,WorkItem#0000000010R14SYVT6VF7PT68E,,,,,
Learner#,Learner#0000000010EWBZYE5RYETV2D96,,$1.00,,,,,,,,4/24/2024,,,Career,,,,,,,,,,,2/20/2024,February,Q1,,WorkItem#0000000010T0A7VHRDNDH31YQ3,,,,,"""question'"":'""Question2'"""
Learner#,Learner#0000000010EWF65S01GHQ10XTJ,,$0.00,,,,,,,,5/1/2024,,,Career,,,,,,,,,,,11/3/2023,November,Q4,,WorkItem#0000000010P4E0YSQJQ7P1AZD3,,,,,"""code'"":'""QU1YUR0'"""
Learner#998a6f6b-cc30-411b-9d2d-d2f50958be23,Learner#0000000010EWF65S01GHQ10XTJ,BW4QONZ,,1070,Team Allocated,5/1/2024,$0.00,,unpaid,TRUE,5/1/2024,5/1/2024,This is an auto approved opportunity,,,,BW4QONZ,,,,,,,,11/13/2025,November,Q4,,WorkItem#0000000010WPNADYYGGD86P559,,,,,
Learner#791c1c74-53b4-457e-b13e-38df4e6c3d35,Learner#0000000010EWR80B30XB2XEZS3,,,1030,Rejected,12/19/2023,$0.00,,unpaid,,12/19/2023,11/29/2023,aa,,,,BVB8FLK,,,,TRUE,,,,8/5/2023,August,Q3,,WorkItem#0000000010Y65ZVJ3CY70T6CHC,,,,,
Learner#8d4c12bb-211d-459f-8b2d-653095f9b529,Learner#0000000010EWR80B30XB2XEZS3,BVB8FLK,,1070,Team Allocated,11/6/2023,$0.00,,unpaid,,11/6/2023,11/6/2023,lgtm,,,,BVB8FLK,,,fffff,TRUE,,,,8/7/2023,August,Q3,,,,,,,
Learner#2240afd2-69e5-4e41-8579-165a87ad5181,Learner#0000000010EWR80B30XB2XEZS3,BNS8AMH,,1055,Not Started,9/30/2023,$0.00,,unpaid,,9/30/2023,9/30/2023,Accepted by automation,,9/30/2023,,BNS8AMH,,,111111,TRUE,,,,11/18/2023,November,Q4,,,,,,,
Learner#7fedbaf8-9745-4760-be43-13a7a4c31edb,Learner#0000000010EWR80B30XB2XEZS3,BNS8AMH,,1070,Team Allocated,10/2/2023,$0.00,,unpaid,,10/2/2023,10/2/2023,Accepted by automation,,,,BNS8AMH,,,111111,TRUE,,,,,,,,,,,,,
Learner#,Learner#0000000010EWR80B30XB2XEZS3,,$0.00,,,,,,,,10/2/2023,,,Competition,,,,,,,,,,,4/15/2025,April,Q2,,,,,,,"""question'"":'""Question2'"""
Learner#7ddb49b8-71e7-43ba-89de-ba5564db97ff,Learner#0000000010EWR80B30XB2XEZS3,BNS8AMH,,1110,Withdraw,9/30/2023,$0.00,,unpaid,,9/30/2023,9/30/2023,Accepted by automation,,,,BNS8AMH,,,111111,TRUE,,,,,,,,,,,,,
Learner#d2d72bdc-8740-44ca-8ec3-c6ce8c9270c4,Learner#0000000010EWXFKR86PS7T8X9G,,,1040,Waitlisted,5/24/2024,$0.00,,unpaid,,5/24/2024,5/24/2024,acc,,,,BIZ7AOR,,,,TRUE,,,aa,3/1/2023,March,Q1,,WorkItem#0000000010AKGVSFQMCPZK81WR,,,,,
Learner#e07385ee-aad4-48db-815f-6362e89754cf,Learner#0000000010EWXFKR86PS7T8X9G,BZ5436W,,1070,Team Allocated,5/24/2024,$0.00,,unpaid,,12/9/2024,5/24/2024,ac,,,BZ5436W,BIZ7AOR,,,,TRUE,,,aa,8/31/2023,August,Q3,,WorkItem#00000000100MXFXCBSFPDNEBYR,,,,,
Learner#791c1c74-53b4-457e-b13e-38df4e6c3d35,Learner#0000000010EWXFKR86PS7T8X9G,BIZ7AOR,,1070,Team Allocated,5/24/2024,$0.00,,unpaid,,6/12/2025,5/24/2024,done,,,,BIZ7AOR,,,asdfasdf,TRUE,,,asdfasdf,1/24/2024,January,Q1,,WorkItem#0000000010K5GZVWPV3DJWCKVZ,,,,,
Learner#2c749a56-ff71-40f2-9760-b2f6076ebe62,Learner#0000000010EWXFKR86PS7T8X9G,,,1040,Waitlisted,5/24/2024,$0.00,,unpaid,,5/24/2024,5/24/2024,done,,,,BIZ7AOR,,,,TRUE,,,asdfasdf,2/13/2024,February,Q1,,WorkItem#0000000010XM0G1DFGA4599KFN,,,,,
Learner#,Learner#0000000010EWXFKR86PS7T8X9G,,$0.00,,,,,,,,6/12/2025,,,Internship,,,,,,,,,,,,,,,WorkItem#0000000010GABGFXPJH3JSNQ3Y,,,,,"""is_frozen'"":'""false'"""
Learner#8864966a-0b3a-4e52-9a79-e024562a6d02,Learner#0000000010EWXFKR86PS7T8X9G,BZ5436W,,1070,Team Allocated,5/24/2024,$0.00,,unpaid,,5/24/2024,5/24/2024,dasdfasdf,,,BZ5436W,BIZ7AOR,,,,TRUE,,,asdfasdf,1/22/2026,January,Q1,,WorkItem#0000000010DHGW369GWZXDJXBP,,,,,
Learner#fcf7c7e4-0560-4d4d-8db7-ce9044d0bc6e,Learner#0000000010EWXFKR86PS7T8X9G,,,1040,Waitlisted,5/24/2024,$0.00,,unpaid,,5/24/2024,5/24/2024,asdfads,,,,BIZ7AOR,,,,TRUE,,,asdfasdf,4/17/2026,April,Q2,,WorkItem#0000000010EAE8J0YCKNVPQGPA,,,,,
Learner#,Learner#0000000010EX6PQV6F5GWBRSX0,,$0.00,,,,,,,,4/15/2024,,,Career,,,,,,,,,,,3/4/2025,March,Q1,,WorkItem#0000000010RT238V11BXS7Q73W,,,,,"""question'"":'""Additional Notes'"""
Learner#,Learner#0000000010EXCJ8FY2HHE7K00C,,$0.00,,,,,,,,9/14/2025,,,Masterclass,,,,,,,,,,,5/26/2023,May,Q2,,WorkItem#0000000010EEGE2EFC736TSPA1,,,,,
Learner#5b103f6b-b175-46e1-b148-0683da9aff14,Learner#0000000010EXCJ8FY2HHE7K00C,,,1010,Applied,,$0.00,,unpaid,,9/14/2025,9/14/2025,,,,,B2VE5YQ,,,,TRUE,,,Testing,5/1/2025,May,Q2,,WorkItem#00000000101P3D43B0RB01GQHE,,,,,
Learner#,Learner#0000000010EXR9TB5Y7P1C6AQD,,$0.00,,,,,,,,8/28/2023,,,Masterclass,,,,,,,,,,,4/19/2024,April,Q2,,,,,,,"{'""code'"":'""Q3E6SJC'"""
Learner#,Learner#0000000010EXZJ6E4F0YJTFHF3,,$0.00,,,,,,,,11/11/2024,,,Course,,,,,,,,,,,8/17/2023,August,Q3,,,,,,,"""ref_properties'"":'""{\'""relation_id\'"":\'""NY02YD\'""}'""}"""
Learner#7ddb49b8-71e7-43ba-89de-ba5564db97ff,Learner#0000000010EXZJ6E4F0YJTFHF3,BCT9KH4,,1120,Rewards,5/22/2023,$0.00,,unpaid,,5/22/2023,5/22/2023,accc,,,,BCT9KH4,,,,TRUE,,,learn,12/19/2025,December,Q4,,,,,,,
Learner#,Learner#0000000010EY2RHEFZSQNWXA0C,,$0.00,,,,,,,,7/21/2023,,,Internship,,,,,,,,,,,12/28/2023,December,Q4,,,,,,,
Learner#8864966a-0b3a-4e52-9a79-e024562a6d02,Learner#0000000010EY56V6DRXRTRF98X,,,1010,Applied,,$0.00,,unpaid,,3/25/2025,3/25/2025,,,,,BG80Q98,,,,TRUE,,,Applying from cypress automation testing.,,,,,,,,,,
Learner#,Learner#0000000010EY56V6DRXRTRF98X,,$0.00,,,,,,,,3/25/2025,,,Engagement,,,,,,,,,,,3/1/2024,March,Q1,,WorkItem#0000000010T7FNXE6ZGCA9CQJC,,,,,"{'""serial_number'"":'""1'"""
Learner#,Learner#0000000010EY8G6J65R57EV963,,$0.00,,,,,,,,6/25/2025,,,Career,,,,,,,,,,,1/22/2026,January,Q1,,WorkItem#0000000010PTPF36PMGRP3BNH6,,,,,"{'""serial_number'"":'""0'"""
Learner#,Learner#0000000010EYKCMZ8XNX3QR9D7,,$1.00,,,,,,,,9/30/2024,,,Engagement,,,,,,,,,,,9/14/2023,September,Q3,,WorkItem#0000000010ASB7DSVQ88B1HX86,,,,,"{'""serial_number'"":'""0'"""
Learner#,Learner#0000000010EYSXAT1JQ5X8R44T,,$0.00,,,,,,,,12/14/2023,,,Career,,,,,,,,,,,5/6/2024,May,Q2,,WorkItem#0000000010J1WWJXRTCV83J9RQ,,,,,"""question'"":'""Additional Notes'"""
Learner#89325f4d-2f98-44ed-89e8-865d4514dd23,Learner#0000000010EYSY7ZVVQY2YDZRT,B4RQGD6,,1120,Rewards,2/21/2024,$0.00,,unpaid,,2/21/2024,2/21/2024,accept,,,,B4RQGD6,,,,TRUE,,,hh,3/1/2024,March,Q1,,WorkItem#0000000010E1F5RQS053D4MDBR,,,,,
Learner#35596f45-67d4-4d3b-befe-741ba15f942a,Learner#0000000010EYSY7ZVVQY2YDZRT,,,1030,Rejected,4/27/2024,$0.00,,unpaid,,4/27/2024,3/18/2024,Rejecting,,,B4RQGD6,BRPVLNC,,,,TRUE,,,asdfsadf,9/26/2024,September,Q3,,WorkItem#0000000010QK2FEXSRJ5XZX0QR,,,,,
Learner#,Learner#0000000010EYSY7ZVVQY2YDZRT,,$0.00,,,,,,,,2/21/2024,,,JobSimulation,,,,,,,,,,,12/16/2024,December,Q4,,WorkItem#0000000010F2FW90Z6GCQK8WDK,,,,,
Learner#,Learner#0000000010EYY8NM6HJ12D6SR5,,$0.00,,,,,,,,6/22/2023,,,Event,,,,,,,,,,,3/9/2023,March,Q1,,,,,,,"{'""sk'"":'""Testimonial#000000001074E9E2TTJCZB5AST'"""
Learner#80343e25-e4de-4b8e-89e5-efc332354cd7,Learner#0000000010EYY8NM6HJ12D6SR5,B2Q91E2,,1120,Rewards,#VALUE!,$0.00,,unpaid,TRUE,2/22/2023,2/22/2023,This is an auto approved opportunity,,,,B2Q91E2,,,,,,,,,,,,,,,,,
Learner#d07b9104-e428-4d10-9f89-b5b0cbfee33d,Learner#0000000010EYY8NM6HJ12D6SR5,,,1010,Applied,,$0.00,,unpaid,TRUE,2/21/2023,2/21/2023,,,,,B2Q91E2,,,,,,,,11/3/2023,November,Q4,,,,,,,
Learner#5b103f6b-b175-46e1-b148-0683da9aff14,Learner#0000000010EYY8NM6HJ12D6SR5,B17PNFK,,1120,Rewards,5/24/2023,$0.00,,unpaid,TRUE,5/24/2023,5/24/2023,This is an auto approved opportunity,,,,B17PNFK,,,,,,,,1/22/2024,January,Q1,,,,,,,
Learner#7ddb49b8-71e7-43ba-89de-ba5564db97ff,Learner#0000000010EYY8NM6HJ12D6SR5,B2Q91E2,,1110,Withdraw,#VALUE!,$0.00,,unpaid,TRUE,2/22/2023,2/22/2023,This is an auto approved opportunity,,,,B2Q91E2,,,,,,,,,,,,,,,,,
Learner#83f610d8-ee56-4b7c-a97f-ce9163f776e2,Learner#0000000010EYY8NM6HJ12D6SR5,B2Q91E2,,1120,Rewards,#VALUE!,$0.00,,unpaid,TRUE,2/22/2023,2/22/2023,This is an auto approved opportunity,,,,B2Q91E2,,,,,,,,,,,,,,,,,
Learner#8558d6d0-729a-4b6a-8fcf-380d163e2eca,Learner#0000000010EYY8NM6HJ12D6SR5,,,1010,Applied,,$0.00,,unpaid,TRUE,2/24/2023,2/24/2023,,,,,B2Q91E2,,,,,,,,,,,,,,,,,
Learner#6c82039f-8065-4837-b0b1-f69d517ec18b,Learner#0000000010EYY8NM6HJ12D6SR5,B2Q91E2,,1050,Dropped,#VALUE!,$0.00,,unpaid,TRUE,2/22/2023,2/22/2023,This is an auto approved opportunity,,,,B2Q91E2,,,,,,,,3/1/2024,March,Q1,,,,,,3/1/2023,
Learner#72d530e5-edca-40e6-b47f-1c1ddf06b4bf,Learner#0000000010EYY8NM6HJ12D6SR5,,,1010,Applied,,$0.00,,unpaid,TRUE,2/24/2023,2/24/2023,,,,,B2Q91E2,,,,,,,,3/18/2024,March,Q1,,,,,,,
Learner#79bac6f6-bee2-4169-a792-fff5b29c5b12,Learner#0000000010EYY8NM6HJ12D6SR5,B2Q91E2,,1120,Rewards,#VALUE!,$0.00,,unpaid,TRUE,3/9/2023,3/9/2023,This is an auto approved opportunity,,,,B2Q91E2,,,,,,,,4/1/2024,April,Q2,,,,,,,
Learner#3cacb4d5-6e17-48b2-b7a1-09b91462bc6f,Learner#0000000010EYY8NM6HJ12D6SR5,BC4KOLD,,1070,Team Allocated,5/26/2023,$0.00,,unpaid,TRUE,5/26/2023,5/26/2023,This is an auto approved opportunity,,,,BC4KOLD,,,,,,,,7/1/2024,July,Q3,,,,,,,
Learner#b20d1870-25e8-4b99-b783-58a358cbba74,Learner#0000000010EYY8NM6HJ12D6SR5,B2Q91E2,,1070,Team Allocated,#VALUE!,$0.00,,unpaid,TRUE,1/1/1970,2/15/2023,This is an auto approved opportunity,,,,B2Q91E2,,,,,,,,11/8/2024,November,Q4,,,,,,,
Learner#2f958f15-8e19-44e1-b54b-acd6ed6f0118,Learner#0000000010EYY8NM6HJ12D6SR5,B2Q91E2,,1070,Team Allocated,#VALUE!,$0.00,,unpaid,TRUE,3/2/2023,3/2/2023,This is an auto approved opportunity,,,,B2Q91E2,,,,,,,,11/26/2025,November,Q4,,,,,,,
Learner#1c18f3e9-b924-437f-ac54-be0ff6969732,Learner#0000000010EYY8NM6HJ12D6SR5,,,1010,Applied,,$0.00,,unpaid,TRUE,2/24/2023,2/24/2023,,,,,B2Q91E2,,,,,,,,12/1/2025,December,Q4,,,,,,,
Learner#8d4c12bb-211d-459f-8b2d-653095f9b529,Learner#0000000010EZ6D6BJW3F93X6XX,B397GHJ,,1070,Team Allocated,3/20/2024,$0.00,,unpaid,TRUE,3/20/2024,3/20/2024,Accepted by automation,,,,B397GHJ,,,,,,,,8/3/2023,August,Q3,,WorkItem#00000000109PDWY8H4FQCDP1DQ,,,,,
Learner#,Learner#0000000010EZ6D6BJW3F93X6XX,,$0.00,,,,,,,,3/20/2024,,,Course,,,,,,,,,,,,,,,WorkItem#0000000010AATKGF6XAQGRTMS4,,,,,"{'""code'"":'""QBF38RC'"""
Learner#,Learner#0000000010EZ6FZCKSHEA1X12N,,$0.00,,,,,,,,12/18/2023,,,Career,,,,,,,,,,,8/18/2025,August,Q3,,WorkItem#000000001053CSD0DNF4Z9V4HN,,,,,"""question'"":'""Additional Notes'"""
Learner#03db4b84-a7e6-4ea9-951b-ac34ca7ae258,Learner#0000000010EZ948QV61YY5ZGS4,,,1010,Applied,,$0.00,,unpaid,,10/31/2025,10/31/2025,,,,,BSDCZMB,,,12331,TRUE,,,12331,5/12/2023,May,Q2,https://github.com/,WorkItem#0000000010DVABZPKACN0G6GQV,,,,,
Learner#65d46d05-042f-4513-8a4c-36615bead3e0,Learner#0000000010EZ948QV61YY5ZGS4,BSDCZMB,,1070,Team Allocated,12/17/2025,$0.00,,unpaid,,12/17/2025,12/17/2025,Candidate meets all requirements,,,,BSDCZMB,,,,TRUE,,,12345,8/7/2023,August,Q3,,WorkItem#0000000010JVN7J03AT1E428F4,,,,,
Learner#b5e75952-213f-458b-ae19-4905a9ead399,Learner#0000000010EZ948QV61YY5ZGS4,BSDCZMB,,1070,Team Allocated,11/25/2025,$0.00,,unpaid,,11/25/2025,11/25/2025,Candidate meets all requirements,,,,BSDCZMB,,,,TRUE,,,Testing,8/24/2023,August,Q3,,WorkItem#0000000010387WTEC8A73CKS1X,,,,,
Learner#39d44a43-5dd4-4ffe-9b57-83541cb11b7a,Learner#0000000010EZ948QV61YY5ZGS4,BSDCZMB,,1055,Not Started,10/10/2025,$0.00,,unpaid,,4/20/2026,10/10/2025,Strong application,,4/20/2026,,BSDCZMB,,,sdsdsd,TRUE,,,Why do you want to apply for this Internship? *Why do you want to apply for this Internship? *,8/25/2023,August,Q3,,WorkItem#000000001025CS61V8WEAFE6MA,,,,,
Learner#d40e8693-9977-4fc6-b3f1-dca1028a024f,Learner#0000000010EZ948QV61YY5ZGS4,BSDCZMB,,1070,Team Allocated,11/28/2025,$0.00,,unpaid,,11/28/2025,11/28/2025,Candidate meets all requirements,,,,BSDCZMB,,,,TRUE,,,5457454,11/2/2023,November,Q4,http://localhost:4200/opportunities/Global%20Internships?category=Internship&isFilterByEligibility=0&tab=1,WorkItem#0000000010K2N35TPGGMRD3RCG,,,,,
Learner#182b00e9-b690-48b9-885e-d083d6cc03e9,Learner#0000000010EZ948QV61YY5ZGS4,BSDCZMB,,1070,Team Allocated,11/3/2025,$0.00,,unpaid,,11/3/2025,10/29/2025,Candidate meets all requirements,,,,BSDCZMB,,,,TRUE,,,test,11/6/2023,November,Q4,,WorkItem#000000001019REPD6S2X50EHSC,,,,,
Learner#56a4a16b-6b54-4329-ad5a-7929d2c6a23c,Learner#0000000010EZ948QV61YY5ZGS4,,,1010,Applied,,$0.00,,unpaid,,10/29/2025,10/29/2025,,,,,BSDCZMB,,,,TRUE,,,Apply,11/19/2023,November,Q4,,WorkItem#00000000101T555QHCSA18TSE4,,,,,
Learner#153f063d-cf30-4259-a399-3a199bca54c7,Learner#0000000010EZ948QV61YY5ZGS4,,,1010,Applied,,$0.00,,unpaid,,12/1/2025,12/1/2025,,,,,BSDCZMB,,,,TRUE,,,Test123,9/5/2024,September,Q3,,WorkItem#00000000103EWSKAT4A908C7J2,,,,,
Learner#77b03a65-f26e-4408-a26d-807a343e0a7d,Learner#0000000010EZ948QV61YY5ZGS4,,,1010,Applied,,$0.00,,unpaid,,12/15/2025,12/15/2025,,,,,BSDCZMB,,,,TRUE,,,5457454,3/19/2025,March,Q1,,WorkItem#00000000102E0PYBMSK6VE9FF2,,,,,
Learner#f92cd832-773d-424b-a95a-37cf4c892a35,Learner#0000000010EZ948QV61YY5ZGS4,BSDCZMB,,1120,Rewards,11/6/2025,$0.00,,unpaid,,11/6/2025,11/6/2025,Strong application,,,,BSDCZMB,,,,TRUE,,,12331,4/21/2025,April,Q2,,WorkItem#00000000108VCWWHWHF4YPQYEE,,,,,
Learner#6f39a383-aa51-4642-8995-61e49649f6d8,Learner#0000000010EZ948QV61YY5ZGS4,,,1010,Applied,,$0.00,,unpaid,,10/16/2025,10/16/2025,,,,,BSDCZMB,,,,TRUE,,,sdadad,8/28/2025,August,Q3,,WorkItem#00000000109FVK2PVF6Q47Q27P,,,,,
Learner#,Learner#0000000010EZ948QV61YY5ZGS4,,$0.00,,,,,,,,10/10/2025,,,Internship,,,,,,,,,,,1/12/2026,January,Q1,,WorkItem#0000000010BTGDGY8RKXFTFXSJ,,,,,"""serial_number'"":'""3'"""
Learner#,Learner#0000000010EZDCF307SFQVKQ47,,$0.00,,,,,,,,2/28/2024,,,Competition,,,,,,,,,,,3/1/2024,March,Q1,,WorkItem#0000000010BZYK838D3MAXKGPG,,,,,"{'""code'"":'""QFN8P4R'"""
Learner#,Learner#0000000010EZT1AT7AFFXJXZ9H,,$0.00,,,,,,,,12/20/2023,,,Engagement,,,,,,,,,,,6/23/2023,June,Q2,,WorkItem#00000000108NVWV4YT5J6JR1YJ,,,,,"""ans_type'"":'""boolean'""}"
Learner#7ddb49b8-71e7-43ba-89de-ba5564db97ff,Learner#0000000010EZT1AT7AFFXJXZ9H,B4BWZ3E,,1120,Rewards,12/19/2023,$0.00,,unpaid,,12/20/2023,12/19/2023,Accepted by automation,,,,B4BWZ3E,,,,TRUE,,,Applying from cypress automation testing.,,,,,WorkItem#0000000010Q80K6R9F5XN0JQ2P,,,,,
Learner#d8c06afa-0e81-42ff-9997-5fe6241325fb,Learner#0000000010EZVAKF23FTK2TNM8,BRT9B4L,,1070,Team Allocated,7/1/2023,$0.00,,unpaid,,7/1/2023,7/1/2023,Accepted by automation,,,,BRT9B4L,,,,TRUE,,,,5/23/2024,May,Q2,,,,,,,
Learner#,Learner#0000000010EZVAKF23FTK2TNM8,,$2.00,,,,,,,,7/31/2023,,,Competition,,,,,,,,,,,8/9/2024,August,Q3,,,,,,,
